School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban Area,School Type,Definition,Authority,Donations,Gender of Students,Territorial Authority,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Māori Electorate,Area Unit,Ward,Community of Learning ID,Community of Learning Name,Latitude,Longitude,Isolation Index,Decile,Total School Roll,European / Pākehā,Māori,Pacific,Asian,MELAA,Other,International
317,Christchurch Adventist School,03 352 9173,03 352 3470,accounts@cas.school.nz,Evan Ellis,http://www.cas.school.nz,15 Grants Road,Papanui,Christchurch,P O Box 5197,Papanui,Christchurch,8542,Main Urban Area,Composite,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Papanui,Papanui Ward,99173,Christian Education Network Community of Learning,-43.499023,172.611436,0.09,5,271,87,17,63,73,24,6,1
318,St Andrew's College (Christchurch),03 940 2000,03 940 2060,reception@stac.school.nz,Christine Leighton,http://www.stac.school.nz,347 Papanui Road,Bryndwr,Christchurch,347 Papanui Road,Strowan,Christchurch,8052,Main Urban Area,Composite,School with Boarding Facilities,Private : Fully Registered,Not applicable,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Strowan,Fendalton Ward,99027,Waimairi-iri Community of Learning,-43.506368,172.615873,Not applicable,10,1588,1247,114,23,164,8,17,15
319,Burnside High School,03 358 8383,03 358 8380,,Phillip Holstein,http://www.burnside.school.nz,151 Greers Road,Burnside,Christchurch,P O Box 29677,Burnside,Christchurch,8540,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Wairarapa,Waimairi Ward,99027,Waimairi-iri Community of Learning,-43.50732,172.57771,0.15,8,2455,1181,219,74,800,84,11,86
320,Mairehau High School,03 385 3145,03 385 3143,admin@mairehau.school.nz,Harry Romana,http://www.mairehau.school.nz,Hills Road,,Christchurch,440 Hills Road,Mairehau,Christchurch,8052,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Mairehau North,Innes Ward,,,-43.494021,172.648484,0.11,4,359,180,105,28,37,5,4,0
321,Shirley Boys' High School,03 375 7057,03 385 3934,jmf@shirley.school.nz,Tim Grocott,http://www.shirley.school.nz,209 Travis Road,,Christchurch,P O Box 27025,Shirley,Christchurch,8640,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Single Sex (Boys School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,North Beach,Coastal Ward,99175,Ōtākaro Community of Learning,-43.494009,172.708176,0.08,6,1247,794,255,78,72,21,4,23
324,Avonside Girls' High School,03 389 7199,03 389 9250,shume@avonside.school.nz,Susan Hume,http://www.avonside.school.nz,209 Travis Road,North New Brighton,Christchurch,209 Travis Road,North New Brighton,Christchurch,8083,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Single Sex (Girls School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,North Beach,Coastal Ward,99175,Ōtākaro Community of Learning,-43.493984,172.707457,0.06,6,1027,631,234,74,50,14,7,17
325,Rangi Ruru Girls' School,03 983 3700,03 983 3766,office@rangiruru.school.nz,Sandra Hastie,http://www.rangiruru.school.nz,59 Hewitts Road,Merivale,Christchurch,59 Hewitts Road,Merivale,Christchurch,8014,Main Urban Area,Secondary (Year 7-15),School with Boarding Facilities,Private : Fully Registered,Not applicable,Single Sex (Girls School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Merivale,Fendalton Ward,,,-43.518903,172.617787,Not applicable,10,672,531,52,6,60,1,5,17
326,Villa Maria College,03 348 4165,03 348 4163,villa@villa.school.nz,Mike Baugh (Acting),http://www.villa.school.nz,21 Peer Street,Upper Riccarton,Christchurch,21 Peer Street,Upper Riccarton,Christchurch,8041,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Donations may be requested,Single Sex (Girls School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Upper Riccarton,Riccarton Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.528309,172.567569,0.15,9,823,573,93,49,79,8,3,18
327,Christchurch Boys' High School,03 348 5003,03 348 8121,enquiries@cbhs.school.nz,Nic Hill,http://www.cbhs.school.nz,71 Straven Road,Riccarton,Christchurch,P O Box 8157,Riccarton,Christchurch,8440,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Donations may be requested,Single Sex (Boys School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Deans Bush,Fendalton Ward,,,-43.524811,172.59842,0.09,10,1366,943,164,44,145,28,7,35
328,Christchurch Girls' High School -Te Kura o Hine Waiora,03 348 0849,03 348 0847,admin@cghs.school.nz,Christine O'Neill,http://www.cghs.school.nz,10 Matai Street,Riccarton,Christchurch,10 Matai Street,Riccarton,Christchurch,8011,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Donations may be requested,Single Sex (Girls School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Mona Vale,Riccarton Ward,,,-43.524298,172.611374,0.07,9,1233,911,117,28,126,27,10,14
330,Christ's College,03 366 8705,03 364 5295,headmaster@christscollege.com,Garth Wynne,http://www.christscollege.com,33 Rolleston Avenue,Christchurch Central,Christchurch,Private Bag 4900,,Christchurch,8140,Main Urban Area,Secondary (Year 9-15),School with Boarding Facilities,Private : Fully Registered,Not applicable,Single Sex (Boys School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Hagley Park,Central Ward,,,-43.529721,172.627122,Not applicable,10,684,542,38,4,67,7,4,22
331,St Thomas of Canterbury College,03 348 7010,03 348 2621,staff@stc.school.nz,Steve Hart,http://www.stc.school.nz,69 Middlepark Road,Sockburn,Christchurch,P O Box 11314,Sockburn,Christchurch,8443,Main Urban Area,Secondary (Year 7-15),Not Applicable,State : Integrated,Donations may be requested,Single Sex (Boys School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Sockburn,Hornby Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.533612,172.556212,0.16,8,676,409,112,78,59,10,1,7
333,St Margaret's College,03 379 2000,03 365 5748,admin@stmargarets.school.nz,Diana Patchett,http://www.stmargarets.school.nz/,12 Winchester Street,Merivale,Christchurch,P O Box 25094,,Christchurch,8144,Main Urban Area,Composite,School with Boarding Facilities,Private : Fully Registered,Not applicable,Single Sex (Girls School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Merivale,Fendalton Ward,,,-43.519096,172.622159,Not applicable,10,832,686,34,3,71,8,7,23
334,Riccarton High School,03 348 5073,03 343 3354,info@riccarton.school.nz,Neil Haywood,http://www.riccarton.school.nz,31 Vicki Street,Sockburn,Christchurch,31 Vicki Street,Sockburn,Christchurch,8042,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Sockburn,Riccarton Ward,99176,Pūtaringamotu Kāhui Ako,-43.535895,172.566365,0.15,6,1066,459,149,56,357,23,8,14
335,Middleton Grange School,03 348 9826,03 348 8317,office@middleton.school.nz,Mike Vannoort,http://www.middleton.school.nz,30 Acacia Avenue,Riccarton,Christchurch,30 Acacia Avenue,Upper Riccarton,Christchurch,8041,Main Urban Area,Composite,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Wharenui,Riccarton Ward,99173,Christian Education Network Community of Learning,-43.53625,172.57652,0.13,9,1329,731,73,51,342,68,20,44
336,Hagley Community College,03 379 3090,03 379 3134,info@hagley.school.nz,Mike Fowler,http://www.hagley.school.nz,510 Hagley Avenue,Christchurch Central,Christchurch,P O Box 3084,Christchurch Central,Christchurch,8140,Main Urban Area,Secondary (Year 9-15),Designated Character School,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Cathedral Square,Central Ward,99215,Te Taura Here o Ōtautahi Kāhui Ako,-43.537243,172.623008,0.04,6,2037,1278,204,30,366,91,68,0
337,Linwood College,03 982 0100,03 982 0101,secretary@linwoodcollege.school.nz,Richard Edmundson,http://www.linwoodcollege.school.nz,180 Avonside Drive,Linwood,Christchurch,P O Box 24034,Eastgate,Christchurch,8642,Main Urban Area,Secondary (Year 7-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Avonside,Central Ward,99063,Tamai Community of Learning,-43.523836,172.661247,0.08,3,753,276,245,80,134,14,4,0
338,Hornby High School,03 349 5396,03 349 5352,office@hornby.school.nz,Robin Sutton,http://www.hornby.school.nz,180 Waterloo Road,Hornby,Christchurch,180 Waterloo Road,Hornby,Christchurch,8042,Main Urban Area,Secondary (Year 7-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hornby North,Hornby Ward,99045,Uru Mānuka Kāhui Ako,-43.538179,172.527635,0.22,3,756,266,202,101,180,6,0,1
339,Hillmorton High School,03 338 5119,03 338 1609,admin@hillmorton.school.nz,Ann Brokenshire,http://www.hillmorton.school.nz,Tankerville Road,Barrington,Christchurch,P O Box 33115,Barrington,Christchurch,8244,Main Urban Area,Secondary (Year 7-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hillmorton,Spreydon Ward,,,-43.55768,172.592782,0.11,4,991,539,188,101,99,49,5,10
340,Cashmere High School,03 332 9129,03 332 9126,office@cashmere.school.nz,Joe Eccleton,http://www.cashmere.school.nz,172 Rose Street,Somerfield,Christchurch,172 Rose Street,Somerfield,Christchurch,8024,Main Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Barrington South,Cashmere Ward,99177,Te Mana Raupō Community of Learning,-43.56457,172.623861,0.1,9,2083,1565,226,45,158,47,9,33
341,Hillview Christian School,03 332 6923,03 332 6922,office@hillview.school.nz,Steven Frost,http://www.hillview.school.nz,150 Wilsons Road,St Martins,Christchurch,150 Wilsons Road,Saint Martins,Christchurch,8022,Main Urban Area,Composite,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,St Martins,Cashmere Ward,99173,Christian Education Network Community of Learning,-43.555741,172.652801,0.08,7,547,336,95,42,30,36,8,0
343,Marian College,03 385 8449,03 385 1022,exec@mariancollege.school.nz,Mary-Lou Davidson,http://www.mariancollege.school.nz,122 Barbadoes Street,Christchurch Central,Christchurch,P O Box 27064,Shirley,Christchurch,8640,Main Urban Area,Secondary (Year 9-15),Not Applicable,State : Integrated,Donations may be requested,Single Sex (Girls School),Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Cathedral Square,Central Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.539044,172.646143,0.08,8,395,252,46,50,37,9,1,0
346,Darfield High School,03 318 8411,03 318 8543,admin@darfield.school.nz,Andrew England,http://www.darfield.school.nz,Mclaughlins Road,,Darfield,P O Box 5,,Darfield,7541,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Darfield,Malvern Ward,99008,Te Hū o Kākāpōtahi Kāhui Ako (Malvern),-43.490028,172.103661,1,9,723,593,75,10,23,6,9,7
347,Lincoln High School,03 325 2121,03 325 2509,office@lincoln.school.nz,Kathy Paterson,http://www.lincoln.school.nz,25 Boundary Road,,Lincoln,P O Box 69138,,Lincoln,7640,Minor Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Lincoln,Springs Ward,99113,Ngā Mātāpuna o Ngā Pakihi Community of Learning,-43.635766,172.485673,0.44,10,1356,1100,133,12,72,10,16,13
348,Mount Hutt College,03 302 8437,03 302 8328,college@mthutt.school.nz,Jack Saxon,http://mounthuttcollege.co.nz,44 Main Street,,Methven,P O Box 58,,Methven,7745,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Donations may be requested,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Methven,Western Ward,99009,Opuke Community of Learning,-43.637617,171.650321,1.59,9,477,382,36,4,41,12,1,1
349,Ellesmere College,03 324 3369,03 324 3072,thiand@ellesmere.school.nz,Ronan Bass,http://www.ellesmere.school.nz,Leeston Dunsandel Road,,Leeston,P O Box 52,,Leeston,7656,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Leeston,Ellesmere Ward,99207,Ngā Mātāpuna o te Waihora Kāhui Ako,-43.757832,172.292414,0.92,8,532,394,68,21,27,17,4,1
350,Akaroa Area School,03 304 7108,,office@akaroa.school.nz,Ross Dunn,http://akaroa.school.nz/,141 Rue Jolie,,Akaroa,141 Rue Jolie,,Akaroa,7520,Rural Area,Composite,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Akaroa,Banks Peninsula Ward,99066,Tipu Maia Community of Learning,-43.811179,172.962434,1.68,7,114,77,26,1,9,0,0,1
351,Ashburton College,03 308 4193,03 308 2104,hj@ashcoll.school.nz,Ross Preece,http://www.ashburtoncollege.school.nz,27 Walnut Avenue,Allenton,Ashburton,P O Box 204,Allenton,Ashburton,7740,Secondary Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Allenton East,Ashburton Ward,99043,Hakatere Kāhui Ako,-43.892281,171.750169,1.14,6,1205,730,178,121,159,14,2,1
352,Geraldine High School,03 693 0017,03 693 0020,office@geraldinehs.school.nz,Simon Coleman,http://www.geraldinehs.school.nz,Mckenzie Street,,Geraldine,McKenzie Street,,Geraldine,7930,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Donations may be requested,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Geraldine,Geraldine Ward,99053,Ka Awa Whiria,-44.091799,171.248558,1.22,8,612,475,68,8,44,14,3,0
353,Mackenzie College,03 685 8603,03 685 8296,office@mackcollege.school.nz,Jason Reid,http://www.mackcollege.school.nz,Kirke Street,,Fairlie,47 Kirke Street,,Fairlie,7925,Rural Area,Secondary (Year 7-15),Not Applicable,State,Donations may be requested,Co-Educational,Mackenzie District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Fairlie,Opuha Ward,99143,Te Kāhui Ako ō Te Manahuna,-44.101614,170.825165,1.8,8,179,141,21,1,14,1,1,0
354,Opihi College,03 615 7442,03 615 9987,office@opihicollege.school.nz,Tony Robson (Acting),http://www.opihicollege.school.nz/,Richard Pearse Drive,,Temuka,Richard Pearse Drive,,Temuka,7920,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Temuka,Pleasant Point-Temuka Ward,99174,North Timaru Community of Learning,-44.23971,171.293655,0.94,5,276,191,73,2,9,0,0,1
357,Craighead Diocesan School,03 688 6074,03 684 2250,admin@craighead.school.nz,Belinda Graham,http://www.craighead.school.nz,1 Wrights Avenue,West End,Timaru,1 Wrights Avenue,Highfield,Timaru,7910,Secondary Urban Area,Secondary (Year 7-15),School with Boarding Facilities,State : Integrated,Donations may be requested,Single Sex (Girls School),Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Highfield,Timaru Ward,99174,North Timaru Community of Learning,-44.388302,171.225493,0.7,9,380,330,16,2,14,10,0,8
358,Roncalli College,03 688 6003,03 688 6002,office@roncalli.school.nz,Christopher Comeau,http://www.roncalli.school.nz,Wellington Street,,Timaru,P O Box 138,,Timaru,7940,Secondary Urban Area,Secondary (Year 9-15),Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Parkside,Timaru Ward,99112,South Canterbury Catholic Community of Learning,-44.402798,171.245982,0.67,7,503,356,71,14,40,17,0,5
359,Mountainview High School,03 684 7039,03 684 7037,admin@mountainview.school.nz,Kenny Diamond,http://www.mountainview.school.nz/,Pages Road,,Timaru,Private Bag 907,,Timaru,7940,Secondary Urban Area,Secondary (Year 9-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Marchwiel,Timaru Ward,99174,North Timaru Community of Learning,-44.376707,171.219535,0.72,6,476,367,61,12,23,7,5,1
360,Timaru Boys' High School,03 687 7560,03 688 8219,tbhs@timaruboys.school.nz,Dave Thorp,http://www.timaruboys.school.nz,211 North Street,West End,Timaru,Private Bag 903,,Timaru,7940,Secondary Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Donations may be requested,Single Sex (Boys School),Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Fraser Park,Timaru Ward,99178,South Timaru Community of Learning,-44.400183,171.230188,0.69,7,612,447,90,31,18,12,1,13
361,Timaru Girls' High School,03 688 1122,,principal@timarugirls.school.nz,Deb Hales,http://www.timarugirls.school.nz,Cain Street,,Timaru,P O Box 558,,Timaru,7940,Secondary Urban Area,Secondary (Year 9-15),School with Boarding Facilities,State,Donations may be requested,Single Sex (Girls School),Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Parkside,Timaru Ward,99178,South Timaru Community of Learning,-44.405382,171.244212,0.68,6,411,294,60,24,15,7,2,9
362,Waimate High School,03 689 8920,03 689 8925,gen@waimate-high.school.nz,Janette Packman,http://www.waimate-high.school.nz,Paul Street,,Waimate,Paul Street,,Waimate,7924,Minor Urban Area,Secondary (Year 7-15),Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimate District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Waimate,Waimate Ward,99040,Waimate Community of Learning,-44.73745,171.047272,1.45,5,267,205,31,2,24,5,0,0
363,Waitaki Valley School,03 436 0660,03 436 0990,office@waitakivalley.school.nz,Annabelle Severinsen,http://www.waitakivalley.school.nz,Settlement Road,,Kurow,1 Settlement Road,,Kurow,9435,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waitaki District,Canterbury Region,Dunedin,Otago/Southland,Waitaki,Te Tai Tonga,Kurow,Ahuriri Ward,,,-44.7425,170.464687,2.26,8,112,84,18,3,7,0,0,0
368,The Cathedral Grammar School,03 365 0385,03 365 0384,principal@cathedralgrammar.school.nz,Scott Thelning,http://www.cathedralgrammar.school.nz,2 Chester Street West,,Christchurch,P O Box 2244,Christchurch Central,Christchurch,8140,Main Urban Area,Full Primary,Not Applicable,Private : Fully Registered,Not applicable,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Hagley Park,Central Ward,,,-43.528058,172.628555,Not applicable,10,265,170,1,2,78,3,1,10
418,Rangiora New Life School,03 313 6332,03 313 6237,admin@rnls.school.nz,Stephen Walters,http://www.rnls.school.nz,Denchs Road,Southbrook,Rangiora,Denchs Road,,Rangiora,7400,Secondary Urban Area,Composite,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Southbrook,Rangiora-Ashley Ward,99066,Tipu Maia Community of Learning,-43.320251,172.598016,0.39,9,461,373,26,11,16,26,8,1
419,Rudolf Steiner School (Chch),03 337 0514,03 337 0515,admin@ch.steiner.school.nz,Steven Mustor,http://www.ch.steiner.school.nz,19 Ombersley Terrace,Opawa,Christchurch,P O Box 19944,Woolston,Christchurch,8241,Main Urban Area,Composite,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Opawa,Heathcote Ward,99110,Steiner Waldorf Community of Learning,-43.560087,172.659135,0.11,8,355,279,37,5,26,6,2,0
